name,relation,value
棱子吴萸,生活型,乔木
棱子吴萸,物候期,果期9至10月
棱子芹属,生活型,多年生稀二年生草本
棱子芹属,生长型,顶生
对叶楼梯草,生活型,多年生草本
对叶楼梯草,物候期,花期6至9月
冷地早熟禾,生活型,多年生
冷地毛茛,生活型,多年生草本
冷地毛茛,物候期,花果期6月至8月
冷箭竹,物候期,笋期5至8月
冷箭竹,物候期,花期5至8月，果期7至10月
冷棘豆,生活型,多年生草本
冷棘豆,物候期,花果期6至8月
冷蒿,生活型,多年生草本
冷蒿,物候期,花果期7至10月
冷蕨,生长型,簇生
冷蕨,生长型,互生
冷杉寄生,生长型,顶生
冷杉寄生,物候期,花期5至6月
冷杉,生活型,乔木
冷杉,生活型,大枝斜上伸展
冷杉,物候期,花期5月，球果10月成熟
冷衫异燕麦,生活型,多年生
冷杉属,生活型,常绿乔木
冷水花属,生活型,草本或亚灌木
冷水花属,生活型,在我国南方热带和亚热带山区
冷水花属,生活型,组5.冷水花组Sect.Pilea草本
冷水花假楼梯草,生活型,一年生小草本
冷水花假楼梯草,物候期,花期7至8月，果期9至10月
短叶省藤,生长型,单生
短叶省藤,物候期,果期7月
梨果寄生,物候期,花期6至9月，果期11至12月
梨果仙人掌,生活型,肉质灌木或小乔木
梨果仙人掌,物候期,花期5至6月
梨果柯,生活型,乔木
梨果柯,生活型,芽鳞披针形
梨果柯,物候期,花期5月，果7至8月成熟
梨山乌头,物候期,10月开花
鹿蹄草叶白珠,物候期,花期8月，果期9至10月
梨序楼梯草,生活型,多年生草本
梨序楼梯草,物候期,花期8至9月
梨叶冬青,生活型,常绿小乔木
梨叶冬青,生活型,当年生小枝栗色
梨叶冬青,物候期,果期11月
梨叶木蓼,生活型,当年生枝
梨叶木蓼,生活型,总状花序侧生于当年生枝条
梨叶山矾,生活型,灌木或小乔木
梨叶悬钩子,生长型,顶生
梨叶悬钩子,物候期,花期4至7月，果期8至10月
梨竹属,生活型,乔木状竹类
梨竹,生长型,簇生
梨叶橐吾,生活型,多年生草本
梨叶橐吾,物候期,花期8至10月
梨属,生活型,落叶乔木或灌木
狸尾豆,生活型,平卧或开展草本
狸尾豆,物候期,花、果期8至10月
狸尾豆属,生活型,多年生草本、亚灌木或灌木
狸尾豆属,生长型,顶生
狸藻属,生活型,一年生或多年生草本
离瓣景天,生活型,多年生草本
离瓣景天,物候期,花期8月，果期9至10月
离瓣寄生,物候期,花期1至7月，果期5至8月
离萼杓兰,物候期,花期4至6月，果期7月
双瓣木犀,生活型,常绿乔木
双瓣木犀,物候期,花期9至10月，果期翌年2月
离根香属,生活型,一年生草本
离根香属,生长型,互生
离脉柳叶蕨,生长型,簇生
离穗薹草,物候期,花果期5至7月
离丝野木瓜,物候期,花期4至5月，果期8至9月
离轴红腺蕨,生长型,簇生
离舌橐吾,生活型,多年生草本
离舌橐吾,物候期,花期7至9月
离柱鹅掌柴,生活型,乔木
离柱鹅掌柴,物候期,花期12月
犁苞滨藜,生活型,一年生草本
犁苞滨藜,生长型,簇生
犁苞滨藜,物候期,花果期5至7月
离子芥属,生活型,一年生至多年生草本
离子芥属,生长型,簇生
离柱五加,物候期,果期7月
岩藿香,生活型,多年生草本
岩藿香,物候期,花期6至7月
犁头尖属,生活型,多年生草本
犁头叶堇菜,生活型,多年生草本
犁头叶堇菜,物候期,果期7至9月
黎川悬钩子,物候期,花期4至5月，果期6至7月
黎平瘤果茶,生活型,小乔木
黎平瘤果茶,物候期,花期8至9月
黎婆花,物候期,花期6月，果期7至11月
大果冬青,生活型,落叶乔木
大果冬青,生活型,雄花序：单花或2至5花的聚伞花序
大果冬青,物候期,花期4至5月，果期10至11月
三分丹,物候期,花期3至8月，果期9至12月
黎竹,物候期,花期11月
篱蓼,生活型,一年生草本
藜科,生活型,一年生草本、半灌木、灌木
藜科,生活型,例如
藜,生活型,一年生草本
藜芦属,生活型,多年生草本
藜芦獐牙菜,生活型,多年生草本
藜芦獐牙菜,物候期,花果期7至9月
藜属,生活型,一年生或多年生草本
藜状珍珠菜,生活型,一年生草本
藜状珍珠菜,物候期,花期6月
藜状珍珠菜,物候期,果期6至7月
李榄属,生活型,乔木或灌木
李榄属,生长型,簇生
李榄,生活型,灌木或乔木
李榄,生活型,小枝淡棕色或栗色
李榄,物候期,花期5至6月，果期9月至翌年4月
李榄琼楠,生活型,乔木
华女贞,生活型,灌木或小乔木
华女贞,物候期,花期4至6月，果期7月至翌年4月
黧豆属,生活型,多年生或一年生木质或草质藤本
黧豆属,生长型,互生
李属,生活型,落叶小乔木或灌木
李叶绣线菊,物候期,花期3至5月
李叶榆,生活型,落叶乔木
李叶榆,生活型,当年生枝幼时有疏毛
李叶榆,生活型,花在去年生枝上排成簇状聚伞花序
李叶榆,物候期,花果期4至5月
里白算盘子,生活型,灌木或小乔木
里白算盘子,物候期,花期3至7月，果期7至12月
里海阿魏,生活型,多年生草本
里海阿魏,生长型,互生
里海阿魏,生长型,轮生
里海阿魏,物候期,花期5至6月，果期6至7月
里海盐爪爪,物候期,花果期7至8月
大雪山无心菜,生活型,直立小草本
大雪山无心菜,物候期,花期7至8月
里海旋覆花,生活型,二年生草本
里海旋覆花,生长型,簇生
里海旋覆花,生长型,单生
里海旋覆花,物候期,花期8至9月
下紫细辛,生活型,多年生草本
下紫细辛,生长型,侧生
下紫细辛,物候期,花期3至5月
理塘虎耳草,生活型,多年生草本
理塘虎耳草,物候期,花果期8至10月
理县虎耳草,生活型,多年生草本
理县虎耳草,物候期,花期6至8月
理塘忍冬,生活型,二年生小枝褐色
理塘忍冬,物候期,花期5至6月，果熟期8至9月
理县金腰,生活型,多年生草本
理县金腰,物候期,花期6至7月
理县杜鹃,生活型,常绿小乔木
理县杜鹃,物候期,花期6月
理县乌头,物候期,7月开花
理县香茶菜,物候期,花期7至9月
鳢肠属,生活型,一年生草本
鳢肠,生活型,一年生草本
鳢肠,物候期,花期6至9月
莲山黄耆,生活型,多年生草本
莲山黄耆,物候期,花期5至6月，果期6至9月
乌药,生活型,常绿灌木或小乔木
乌药,物候期,花期3至4月，果期5至11月
立花头序报春,生活型,多年生草本
立花头序报春,物候期,花期9月
立堇菜,生活型,多年生草本
立堇菜,物候期,花果期4至8月
丽豆,物候期,花期5至6月，果期6至8月
丽豆属,生长型,顶生
丽花报春,生活型,多年生草本
丽花报春,物候期,花期6至7月
丽花独报春,物候期,花期6至7月
云南百部,物候期,花期4至6月
丽江扁莎,物候期,花果期6月
丽江杓兰,物候期,花期5至7月
丽江糙苏,生活型,多年生草本
丽江糙苏,物候期,花期7月
丽江柴胡,生活型,多年生草本
丽江柴胡,生长型,顶生
丽江柴胡,物候期,花期7至8月，果期9至10月
丽江赤瓟,生长型,单生
丽江赤瓟,物候期,花期5至7月，果期9至10月
丽江大丁草,生活型,多年生草本
丽江大丁草,生长型,簇生
丽江大丁草,物候期,花期8至10月
丽江翠雀花,物候期,8至9月开花
丽江当归,生活型,多年生草本
丽江当归,物候期,花果期8至12月
丽江大黄,生活型,中型草本
丽江滇紫草,生活型,多年生草本
丽江滇紫草,物候期,花期8月
丽江吊灯花,生活型,直立草本
丽江吊灯花,物候期,花期7月，果期秋季
丽江独活,生活型,多年生草本
丽江独活,物候期,花期7月
丽江椴,生活型,乔木
丽江椴,物候期,花期7月
丽江风铃草,物候期,花期7至9月
丽江粉背蕨,生长型,簇生
丽江风毛菊,生活型,多年生草本
丽江藁本,生活型,多年生草本
丽江藁本,物候期,花期8至9月，果期10月
丽江红景天,生活型,多年生草本
丽江虎耳草,生活型,多年生草本
丽江虎耳草,物候期,花果期5至9月
丽江黄芩,生活型,多年生草本
丽江黄芩,物候期,花期6至8月
丽江黄芩,物候期,果期8至9月
丽江鲫鱼藤,物候期,花期5至7月，果期7至12月
丽江茴芹,生活型,多年生草本
丽江茴芹,物候期,花期7至8月
丽江蓟,生活型,多年生草本
丽江蓟,物候期,花果期6至8月
丽江剪股颖,生活型,多年生紧密丛生草本
黄秦艽,生活型,多年生草本
黄秦艽,物候期,花果期5至8月
丽江拉拉藤,生活型,草本
丽江拉拉藤,物候期,花期6至8月
丽江蓝钟花,生活型,一年生草本
丽江蓝钟花,物候期,花期8月
丽江肋柱花,生活型,一年生草本
丽江肋柱花,物候期,花果期11月
丽江棱子芹,生活型,多年生草本
丽江棱子芹,物候期,花期7月，果期8至9月
丽江连翘,生活型,小枝直立
丽江连翘,物候期,花期4至5月，果期6至10月
丽江镰扁豆,生活型,缠绕草本
丽江镰扁豆,物候期,花期8月
丽江蓼,生活型,多年生草本
丽江鳞毛蕨,生长型,簇生
丽江鹿药,物候期,花期6至7月，果期9至10月
丽江柃,生活型,灌木或小乔木
丽江铃子香,物候期,花期11月
丽江麻黄,物候期,花期5至6月，种子7至9月成熟
丽江马铃苣苔,生活型,多年生草本
丽江马铃苣苔,物候期,花期7至8月，果期10月
丽江毛连菜,生活型,“一年生或二年生草本茎直立
丽江梅花草,生活型,多年生小草本
丽江梅花草,物候期,花期8月，果期9月
丽江南星,物候期,花期6至7月
丽江牛皮消,物候期,花期8月
丽江蒲公英,生活型,多年生草本
丽江槭,生活型,落叶乔木
丽江槭,生活型,当年生枝紫色或红紫色
丽江槭,生活型,多年生枝灰褐色或深褐色
丽江槭,物候期,花期5月，果期9月
丽江千里光,生活型,多年生草本
丽江千里光,生长型,顶生
丽江千里光,物候期,花期9月
须弥茜树,物候期,花期5月，果期7至11月
丽江舌唇兰,物候期,花期7月
丽江唐松草,物候期,6至8月开花
丽江丝瓣芹,生活型,直立草本
丽江丝瓣芹,物候期,花期7至8月，幼果期9月
丽江薹草,物候期,花果期5至7月
丽江铁杉,生活型,乔木
丽江铁杉,生活型,小枝有毛
丽江铁杉,物候期,花期4至5月，球果10月成熟
丽江通泉草,生活型,多年生矮小草本
丽江通泉草,物候期,花期5至10月
丽江铁苋菜,物候期,花期5至8月
丽江葶苈,生活型,多年生丛生草本
丽江葶苈,物候期,花期6至8月
丽江橐吾,生活型,多年生草本
丽江橐吾,物候期,花果期8至9月
丽江微孔草,物候期,7月开花
丽江卫矛,物候期,花期5至6月，果期10月
丽江乌头,物候期,9月开花
丽江吴萸,物候期,花期7至8月，果期10至11月
丽江小檗,生长型,簇生
丽江小檗,物候期,花期6月，果期9月
丽江香青,物候期,花期8至9月
丽江蟹甲草,生活型,多年生草本
丽江蟹甲草,物候期,花期7至8月，果期9至10月
丽江绣线菊,生活型,一年生枝紫色
丽江绣线菊,物候期,花期6至7月，成熟果实未见
丽江雪胆,生活型,攀援草本
丽江雪胆,物候期,花期7至9月，果期8至10月
山生福禄草,生活型,多年生垫状草本
山生福禄草,物候期,花期6至7月，果期7至8月
丽江亚菊,生活型,多年生草本
丽江亚菊,物候期,花期10月
丽江羊茅,生活型,多年生
丽江羊蹄甲,物候期,花果期5至8月
丽江野丁香,物候期,花期5月
芜菁还阳参,生活型,多年生草本
芜菁还阳参,物候期,花果期6至10月
丽江蝇子草,生活型,多年生草本
丽江蝇子草,物候期,花期7至8月
丽江远志,生活型,多年生草本
丽江远志,物候期,花果期7至9月
丽江紫金龙,物候期,花期6至10月，果期7月至翌年1月
丽江獐牙菜,生活型,一年生草本
丽江獐牙菜,物候期,花期8至10月
丽蓼,生活型,多年生草本
丽庆雀麦,生活型,一年生
丽薇属,生活型,乔木或灌木状
丽薇属,生长型,单生
丽薇,生活型,乔木状灌木
丽水悬钩子,物候期,果期8至9月
丽叶薯蓣,生长型,对生
丽叶铁线莲,生长型,顶生
丽叶铁线莲,生长型,簇生
丽叶铁线莲,物候期,花期5月
丽叶沿阶草,生长型,单生
丽叶沿阶草,物候期,花期8月间
丽子藤,物候期,花期4至8月，果期10月
利川慈姑,生活型,多年生沼生草本
利川慈姑,物候期,花期7至8月
利川楠,生活型,乔木
利川楠,物候期,花期5月
利川润楠,生活型,高大乔木
利川润楠,生活型,枝紫褐色或紫黑色
利川润楠,生活型,聚伞状圆锥花序生当年生枝下端
利川润楠,物候期,花期5月，果期9月
利川瘿椒树,生活型,落叶乔木
利特藁本,生活型,多年生草本
利特藁本,物候期,花期7月，果期8月
利马川风毛菊,生活型,多年生草本
利马川风毛菊,物候期,花果期8月
麻栎,生活型,落叶乔木
麻栎,生活型,雄花序常数个集生于当年生枝下部叶腋
麻栎,物候期,花期3至4月，果期翌年9至10月
栎叶罗伞,生活型,小乔木
栎叶杜鹃,物候期,花期5至6月，果期9至10月
凝毛杜鹃,物候期,花期5至6月，果期7至10月
毡毛栎叶杜鹃,物候期,花期5至6月，果期9月
栎叶枇杷,生活型,常绿小乔木
栎叶枇杷,物候期,花期9至11月，果期4至5月
栎叶亚菊,物候期,花果期8至10月
栎属,生活型,常绿、落叶乔木
栎属,生长型,互生
栎属,生长型,顶生
荔波大节竹,生长型,簇生
荔波大节竹,物候期,笋期4月
荔波唇柱苣苔,生活型,多年生草本
荔波唇柱苣苔,物候期,花期5月
荔波红瘤果茶,物候期,花期7至8月
荔波花椒,生活型,小枝及叶轴有颇多弯钩短刺
荔波花椒,物候期,果期8至9月
荔波连蕊茶,生活型,灌木至小乔木
荔波桑,生活型,乔木
荔枝,生活型,常绿乔木
荔叶杜鹃,物候期,花期5月
荔枝属,生活型,乔木
栗柄凤尾蕨,生长型,簇生
台湾金星蕨,生长型,簇生
栗柄岩蕨,生长型,簇生
栗花地杨梅,生活型,多年生草本
栗花地杨梅,物候期,花期6月，果期7月
栗花灯心草,生活型,多年生草本
栗花灯心草,物候期,花期7至8月，果期8至9月
栗蕨属,生长型,对生
栗寄生属,生长型,对生
栗鳞贝母兰,物候期,花期3月
栗毛钝果寄生,物候期,花期3至12月，果期4至12月
栗色巴戟,物候期,花期6月，果期10月
栗色车前蕨,生长型,簇生
栗属,生活型,落叶乔木
圆果算盘子,生活型,乔木或灌木
圆果算盘子,物候期,花期12月至翌年4月，果期4至10月
栗色蝇子草,生活型,多年生草本
栗色蝇子草,物候期,花期8至9月
栗色鼠尾草,生活型,多年生草本
栗色鼠尾草,物候期,花期5至9月
砾沙早熟禾,生活型,多年生
砾沙早熟禾,物候期,花期8月
砾玄参,生活型,半灌木状草本
砾玄参,物候期,花期6至8月，果期8至9月
砾石棘豆,生活型,多年生草本
砾石棘豆,物候期,花期5至6月，果期6至7月
砾地毛茛,生活型,多年生草本
砾地毛茛,物候期,花果期7月至8月
砾石杜鹃,物候期,花期7月
粒鳞顶冰花,物候期,花期6月
粒状马唐,生活型,一年生
连孢一条线蕨,生长型,簇生
石生蝇子草,生活型,多年生草本
石生蝇子草,物候期,花期7至8月，果期8至10月
连城薹草,物候期,花果期3至4月
连齿马先蒿,生活型,多年生草本
滇粤山胡椒,生活型,灌木或小乔木
滇粤山胡椒,物候期,花期3至5月，果期6至10月
短尾铁线莲,物候期,花期7月至9月，果期9月至10月
毛排钱树,物候期,种子椭圆形，长2.5毫米，宽1.8至2毫米，花期7至8月，果期10至11月
连钱黄芩,生活型,一年生草本
连钱黄芩,物候期,花期4至5月，果期5至7月
连翘,物候期,花期3至4月，果期7至9月
连翘属,物候期,全属又为早春开花植物，3月初便含苞待放，是庭园布置早春开花植物的理想花木
连蕊芥属,生活型,一年生草本
连蕊芥,生活型,一年生草本
连蕊芥,物候期,花期5月
连山耳草,物候期,花期2至5月
连山红山茶,物候期,花期11至12月
连香树科,生活型,落叶乔木
连县唇柱苣苔,生活型,多年生小草本
连香树,生活型,落叶大乔木
连香树,生长型,对生
连香树,物候期,花期4月，果期8月
连药沿阶草,物候期,花期6至7月，果期8月
连续薹草,物候期,花果期8至10月
连叶马先蒿,生活型,多年生草本
连柱金丝桃,物候期,花期5至7月
帘子藤属,生长型,顶生
莲桂属,生活型,灌木至小乔木或中乔木
莲桂,生活型,灌木或小乔木
莲桂,物候期,花期4至6月，果期10月
莲花山堇菜,生活型,多年生矮小草本
地皮消,生活型,多年生草本
莲叶桐科,生活型,乔木或灌木
莲叶桐科,生长型,顶生
莲叶桐属,生活型,常绿乔木
莲叶桐,生活型,常绿乔木
莲叶点地梅,生活型,多年生草本
莲叶点地梅,物候期,花期4至5月
莲叶点地梅,物候期,果期5至6月
莲沱兔儿风,生活型,多年生草本
莲沱兔儿风,生长型,簇生
莲沱兔儿风,物候期,花期5至11月
莲叶橐吾,生活型,多年生草本
莲叶橐吾,生长型,簇生
莲叶橐吾,物候期,花期7至9月
莲属,生活型,多年生、水生草本
莲座粉背蕨,生长型,簇生
莲座高原芥,生活型,一年生矮小草本
莲座高原芥,物候期,果期8月
莲座狗舌草,生活型,多年生近葶状草本
莲座狗舌草,生长型,顶生
莲座狗舌草,物候期,花期5至7月
莲座蓟,生活型,多年生草本
莲座蓟,物候期,花果期8至9月
莲座念珠芥,生活型,一年生草本
莲座念珠芥,物候期,花、果期9月
莲座蒲儿根,生活型,多年生近具葶草本
莲座蒲儿根,物候期,花期7月
莲座叶斑叶兰,物候期,花期6月
莲座叶斑叶兰,物候期,果期8月
莲座叶龙胆,生活型,一年生草本
莲座叶龙胆,物候期,花果期4至5月
莲座叶通泉草,生活型,多年生草本
莲座叶通泉草,生长型,对生
莲座叶通泉草,物候期,花果期3至5月
莲座玉凤花,物候期,花期10月
莲座状党参,生长型,互生
莲座状党参,物候期,花果期9至10月
镰瓣豆属,生活型,草本或木质攀援植物
镰瓣豆,生长型,簇生
镰瓣豆,物候期,花期7至10月，果期8至11月
莲座獐牙菜,生活型,多年生草本
莲座獐牙菜,物候期,花果期8至10月
镰瓣凤仙花,生活型,一年生草本
镰瓣凤仙花,物候期,花期8至9月
镰扁豆,物候期,花期10月至翌年3月
镰扁豆属,生活型,攀援、匍匐或直立草本
镰扁豆属,生长型,顶生
莲座石蝴蝶,生活型,多年生草本
莲座石蝴蝶,物候期,花期10月
镰刀叶卷耳,生活型,多年生草本
镰刀叶卷耳,物候期,花期6至8月，果期8至9月
镰萼凤仙花,生活型,高大草本
镰萼凤仙花,物候期,花期8月
镰翅羊耳蒜,生活型,附生草本
镰翅羊耳蒜,物候期,花期8至10月，果期3至5月
镰萼喉毛花,生活型,一年生草本
镰萼喉毛花,生长型,单生
镰萼喉毛花,物候期,花果期7至9月
镰萼虾脊兰,生活型,假鳞茎长圆柱形
镰萼虾脊兰,物候期,花期7至8月
镰稃草属,生活型,多年生
镰稃草属,生长型,顶生
镰稃草,生活型,多年生
镰稃草,物候期,花果期6至11月
镰喙薹草,物候期,花果期5至7月
镰荚黄耆,生活型,一年生草本
镰荚黄耆,物候期,花期5至6月，果期6至7月
镰果杜鹃,生活型,常绿灌木或小乔木
镰果杜鹃,物候期,花期4至5月，果期7至10月
镰荚棘豆,生活型,多年生草本
镰荚棘豆,物候期,花期5至8月，果期7至9月
镰片假毛蕨,生长型,簇生
镰形乌头,物候期,8月开花
弯尾冬青,生活型,常绿乔木
弯尾冬青,生活型,当年生幼枝较细
弯尾冬青,生活型,叶生于1至2年生枝上
弯尾冬青,生活型,花序簇生于当年生枝的叶腋内
弯尾冬青,物候期,花期4月，果期6至9月
镰药藤,物候期,花期5月
镰叶顶冰花,物候期,花期4月下旬至5月上旬，果期5月中旬至下旬
镰叶扁担杆,生活型,灌木或小乔木
镰叶碱蓬,生活型,一年生草本
镰叶碱蓬,物候期,花期6至7月，果期8至9月
镰叶锦鸡儿,生长型,簇生
镰叶锦鸡儿,物候期,花期6月，果期8月
镰叶冷水花,生活型,多年生草本
镰叶冷水花,物候期,花期7至9月，果期9至10月
镰叶盆距兰,物候期,花期9至12月
镰叶前胡,生活型,多年生草本
镰叶前胡,物候期,花期7月，果期8月
镰叶茜草,生活型,草本
镰叶茜草,生长型,单生
镰叶茜草,物候期,果期10月
镰叶山龙眼,生活型,乔木
镰叶山龙眼,物候期,花期5至7月，果期10至11月
镰叶嵩草,生长型,侧生
镰叶嵩草,物候期,花果期7至8月
镰叶水珍珠菜,生活型,直立草本
镰叶水珍珠菜,物候期,花期10月
镰叶雪山报春,生活型,多年生草本
镰叶雪山报春,物候期,花期7月，果期8月
镰叶紫菀,生活型,多年生草本
镰叶紫菀,物候期,花期8至10月，果期10至11月
镰羽短肠蕨,生长型,簇生
镰羽柳叶蕨,生长型,簇生
岩生蹄盖蕨,生长型,簇生
恋岩花属,生活型,稀疏草本或灌木
恋岩花属,生长型,顶生
镰状楼梯草,生活型,多年生草本
镰状楼梯草,物候期,花期9至12月
镰座景天,生活型,多年生草本
镰座景天,物候期,花期10月，果期10至11月
链荚豆属,生活型,多年生草本
链荚豆属,生长型,顶生
链荚木,物候期,花期8至9月，果期9至10月
楝科,生活型,乔木或灌木
链珠藤属,生长型,轮生
链珠藤属,生长型,对生
楝属,生活型,落叶乔木或灌木
凉粉草属,生活型,草本
凉粉草属,生长型,顶生
凉粉草,生活型,草本
凉粉草,物候期,花、果期7至10月
台湾新耳草,生活型,草本
台湾新耳草,物候期,花期4月，果期6月
凉山翠雀花,物候期,7至10月开花
凉山灯台报春,生活型,多年生草本
凉山灯台报春,物候期,花期6至7月
凉山杜鹃,生活型,灌木或小乔木
凉山杜鹃,物候期,花期5至6月，果期9至10月
凉山石杉,生活型,多年生土生植物
凉山千里光,生活型,多年生草本
凉山蛾眉蕨,生长型,簇生
凉山香茅,生活型,多年生草本
凉山香茅,物候期,花果期7至9月
凉山香茶菜,生活型,多年生草本
凉山香茶菜,物候期,花、果期8月
凉山悬钩子,生活型,多年生匍匐草本
凉山悬钩子,生长型,侧生
凉山悬钩子,物候期,花期5至6月，果期7至8月
凉山紫菀,生活型,多年生草本
凉山紫菀,物候期,花期7至8月
凉山紫菀,物候期,果期8至9月
凉山羊茅,生活型,多年生
凉山羊茅,物候期,花期7月
凉山银莲花,物候期,6月至8月开花
凉生梾木,生活型,落叶灌木或小乔木
凉生梾木,物候期,花期6至7月
凉生梾木,物候期,果期8至9月
红瑞木,物候期,花期6至7月
红瑞木,物候期,果期8至10月
梁王茶属,生活型,常绿无刺乔木或灌木
梁王茶属,生长型,顶生
蒙自蹄盖蕨,生长型,簇生
两广杜鹃,物候期,花期4至5月，果期6至8月
两广凤尾蕨,生长型,簇生
两广黄芩,生活型,多年生草本
两广黄芩,物候期,花期8至10月，果期11月
两广栝楼,物候期,花期5至6月，果期7至8月
两广冬青,生活型,常绿乔木或灌木
两广冬青,物候期,花期4月，果期6至7月
两广鳞毛蕨,生长型,簇生
两广猕猴桃,物候期,花期4月下旬至5月，果熟期11月
两广螺序草,生活型,草本
两广螺序草,物候期,花期3月
两广蛇根草,生活型,草本
两广蛇根草,物候期,花期6月
腺缘山矾,生活型,乔木
腺缘山矾,物候期,花果期2至10月，边开花边结果
两广石山棕,物候期,花期5月，果期8月
两广铁线莲,物候期,花期7月至9月，果期10月至12月
舌柱麻,物候期,花期(5)68月，果期(8至)9至10月
两花野青茅,生活型,多年生
两节豆属,生长型,顶生
两节豆,物候期,花期8至9月，果期9至10月
两节荠,生活型,多年生草本
两节荠,物候期,花果期5至7月
两节荠属,生活型,一年或多年生草本
两列栒子,物候期,花期6月，果期9至10月
两裂婆婆纳,物候期,花期4至8月
两面刺,生活型,多年生草本
两面刺,物候期,花果期7至10月
两栖蓼,生活型,多年生草本
两面针,物候期,花期3至5月，果期9至11月
毛叶两面针,物候期,果期5月
两歧五加,物候期,花期8月，果期10月
两歧飘拂草,物候期,花果期7至10月
两蕊甜茅,生活型,多年生
两蕊甜茅,物候期,花期6至8月
两色杜鹃,物候期,花期5月
两色鳞毛蕨,生长型,簇生
两色槭,生活型,落叶小乔木
两色槭,生活型,小枝无毛
两色槭,物候期,花期5月，果期10月
圆齿两色槭,物候期,花期不明，果期9月
粗齿两色槭,物候期,花期不明，果期9月
两色乌头,物候期,8至9月开花
细裂叶莲蒿,生活型,半灌木状草本
细裂叶莲蒿,生活型,根状茎略粗
细裂叶莲蒿,物候期,花果期8至10月
两似蟹甲草,生活型,多年生草本
两头毛,生活型,多年生具茎草本
两头毛,物候期,花期3至7月，果期9至12月
两形果鹤虱,生活型,一年生草本
两形果鹤虱,物候期,花果期6至8月
两型豆属,生活型,缠绕草本
两型豆属,生长型,顶生
亮白黄耆,生活型,多年生草本
亮白黄耆,物候期,花期5至6月，果期6至7月
亮白小报春,生活型,多年生小草本
亮白小报春,物候期,花期5月
亮苞蒿,生活型,半灌木状草本
亮苞蒿,物候期,花果期9至11月
亮蒿,生活型,多年生草本
亮蒿,物候期,花果期8至11月
亮花木属,生活型,乔木、灌木或攀援灌木（外国种）
亮花木属,生长型,互生
亮花木属,生长型,簇生
亮果薹草,物候期,花果期4至5月
亮绿蒿,生活型,多年生草本
亮绿蒿,物候期,花果期7至9月
亮鳞杜鹃,生活型,常绿灌木
亮鳞杜鹃,物候期,花期7至8月，果期8至11月
亮绿嵩草,物候期,花果期8月
亮绿薹草,物候期,花果期6至7月
亮毛杜鹃,生长型,侧生
亮毛杜鹃,物候期,花期3至6月，稀至9月，果期7至12月
亮绿叶椴,生活型,乔木
亮绿叶椴,物候期,花期7至8月
亮绿玉山竹,物候期,笋期8月
亮蛇床属,生活型,多年生草本
亮蛇床属,生长型,侧生
亮毛堇菜,生活型,低矮小草本
亮毛堇菜,生长型,对生
亮蛇床,生活型,多年生草本
亮叶龙船花,物候期,花期7至9月
亮叶报春,生活型,多年生草本
亮叶报春,物候期,花期4月
亮叶含笑,生活型,乔木
亮叶含笑,物候期,花期3至4月，果期9至10月
亮叶杜鹃,生活型,常绿灌木或小乔木
亮叶杜鹃,物候期,花期4至6月，果期8至10月
亮叶杨桐,生活型,灌木或乔木
亮叶杨桐,生活型,枝圆筒形
绿冬青,生活型,常绿灌木或小乔木
绿冬青,生活型,叶生于一至二年生枝上
绿冬青,生活型,雄花1至5朵排成聚伞花序
绿冬青,生活型,雌花单花生于当年生枝的叶腋内
绿冬青,生长型,簇生
亮叶厚皮香,生活型,灌木或小乔木
亮叶厚皮香,物候期,花期6至7月，果期8至9月
亮叶冬青,生活型,常绿小乔木
亮叶冬青,生活型,当年生幼枝具纵棱
亮叶幌伞枫,生活型,常绿乔木
亮叶幌伞枫,生长型,顶生
亮叶幌伞枫,物候期,花期11月，果期11月
木兰寄生,物候期,花期10月至翌年3月，果期6至7月
显脉木兰寄生,物候期,花期8至10月，果期10至12月
亮叶木兰寄生,物候期,花期5至8月，果期8至12月
亮叶青冈,生活型,常绿乔木
亮叶龙胆,生活型,一年生草本
亮叶龙胆,物候期,花果期5至9月
亮叶芹属,生活型,多年生草本
亮叶素馨,生活型,小枝淡褐色
亮叶素馨,生长型,顶生
亮叶素馨,物候期,花期5至10月，果期8月至翌年4月
亮叶槭,生活型,常绿小乔木
亮叶槭,生活型,小枝近于圆柱形
亮叶槭,物候期,花期3月下旬至4月上旬，果期8至9月
亮叶山香圆,生活型,小乔木或灌木
亮叶十大功劳,物候期,花期7至10月，果期10月至翌年3月
亮叶山小橘,生活型,小乔木
亮叶山小橘,物候期,花、果期几乎全年，盛花期1至3月
亮叶鼠李,生活型,常绿乔木
亮叶小檗,生长型,簇生
亮叶小檗,物候期,花期5至6月
美花报春,生活型,多年生草本
美花报春,物候期,花期4至6月，果期7至8月
亮叶栒子,物候期,花期5月，果期8至9月
亮叶月季,物候期,花期4至6月，果期5至8月
亮叶越桔,物候期,果期6月
亮叶紫菀,物候期,花期4至5月
晾衫竹,生长型,单生
晾衫竹,物候期,笋期4至5月
辽东蔊菜,生活型,二年生或多年生草本
辽东蔊菜,物候期,花期6至7月
辽东丁香,生活型,枝粗壮
辽东丁香,物候期,花期6月，果期8月
赛黑桦,生活型,乔木
辽东堇菜,生活型,多年生草本
辽东堇菜,物候期,花期5月
辽东蒿,生活型,多年生草本
辽东蒿,物候期,花果期8至10月
辽东桤木,生活型,乔木
东北山梅花,生活型,二年生小枝灰棕色或灰色
东北山梅花,物候期,花期6至7月，果期8至9月
